,PMID,paper_titles,assigned?,Haley,Peng Yu,Karthik,Xiaohuan,Yi Weng,No. of EV related Matched Keywords,Calculated Result(Normalized),Calculated Y/N by 0.5 Threshold
1887,29484119,breast cancer cell derived exosomes macrophage polarization associated lymph node metastasis,notass,Y,,N,,Y,4,0.8,Y
1888,29484441,disintegrin metalloprotease containing exosomes derived nasal polyps promote angiogenesis vascular permeability,notass,Y,,Y,,Y,2,0.4,N
1889,29484678,simultaneous isolation preconcentration exosomes ion concentration polarization,notass,N,,N,,N,1,0.2,N
1890,29491008,circulating exosomes distinct properties chronic lung allograft rejection,notass,N,,N,,N,1,0.2,N
1891,29491838,iron sulfur molybdenum cofactor enzymes regulate drosophila life cycle controlling cell metabolism,notass,N,,N,,N,0,0,N
1892,29492481,visualization intracellular dynamic tracking exosomes exosomal mirnas using single molecule localization microscopy,notass,N,,N,,N,1,0.2,N
1893,29495441,detection aggregation competent tau neuron derived extracellular vesicles,notass,N,,N,,N,1,0.2,N
1894,29496262,colorectal cancer cell derived exosomes containing mir b regulate fibroblast cells via pi k akt pathway,notass,Y,,Y,,Y,3,0.6,Y
1895,29497921,exosomal mir released hiv tat stimulated astrocytes mediates microglial migration,notass,Y,,Y,,Y,1,0.2,N
1896,29499866,donor tissue specific exosome profiling enables noninvasive monitoring acute rejection mouse allogeneic heart transplantation,notass,N,,N,,Y,1,0.2,N
1897,29499908,cd independent epstein barr virus entry nk cells,notass,N,,N,,N,0,0,N
1898,29500443,improved isolation strategies increase yield purity human urinary exosomes biomarker discovery,notass,N,N,N,,N,2,0.4,N
1899,29502100,adipose derived exosomes exert proatherogenic effects regulating macrophage foam cell formation polarization,notass,Y,,N,,Y,2,0.4,N
1900,29507617,serum exosomes restore cellular function vitro used diagnosis dysferlinopathy,notass,Y,,N,,Y,1,0.2,N
1901,29507629,mesenchymal stem cells derived exosomes immunosuppressive microparticles inflammatory arthritis,notass,Y,,Y,,Y,4,0.8,Y
1902,29511430,chemokine receptor ccr identified mast cell derived exosomes,notass,N,,N,,N,1,0.2,N
1903,29511462,proteome profiling extracellular vesicles captured affinity peptide vn comparison laemmli trizol protein extraction methods,notass,N,,N,,N,2,0.4,N
1904,29511463,biocompatibility highly purified bovine milk derived extracellular vesicles,notass,N,,N,,N,1,0.2,N
1905,29515035,exosomal microrna predicts protects severe bronchopulmonary dysplasia extremely premature infants,notass,Y,,Y,,Y,0,0,N
1906,29515112,hypoxia induced matrix metalloproteinase expression exosomes nasopharyngeal carcinoma enhances metastases,notass,Y,,Y,,Y,2,0.4,N
1907,29518149,secretory microrna expression gingival crevicular fluid orthodontic tooth movement,notass,N,,N,,N,0,0,N
1908,29520105,metastasis associated mir nasopharyngeal carcinoma derived exosomes mediates angiogenesis repressing novel target gene tsga,notass,Y,,Y,,Y,4,0.8,Y
1909,29520676,recent advances exosomal protein detection via liquid biopsy biosensors cancer screening diagnosis prognosis,notass,N,,N,,Y,2,0.4,N
1910,29521294,effects adipose derived mesenchymal stem cell exosomes corneal stromal fibroblast viability extracellular matrix synthesis,notass,Y,,Y,,Y,5,1,Y
1911,29524006,remote ischemic preconditioning fails reduce infarct size zucker fatty rat model type diabetes role defective humoral communication,notass,N,,N,,N,1,0.2,N
1912,29526650,mirnas targeting icp delivered susceptible cells exosomes block hsv replication dose dependent manner,notass,Y*,,Y,,Y,1,0.2,N
1913,29530483,exosomal v integrin required monocyte polarization prostate cancer,notass,Y,,Y,,Y,1,0.2,N
1914,29531019,paclitaxel treatment pc knockdown macrophages promising anti glioma strategy revealed proteomics cytotoxicity studies,notass,N,,N,,N,1,0.2,N
1915,29535716,roles macrophage exosomes immune response calcium oxalate monohydrate crystals,notass,Y,,Y,,Y,4,0.8,Y
1916,29535850,scalable cgmp compatible purification extracellular vesicles carrying bioactive human heterodimeric il lactadherin complexes,notass,N,,N,,N,2,0.4,N
1917,29538408,human embryonic stem cells extracellular vesicles effects immortalized human retinal ller cells,notass,Y,,Y,,Y,2,0.4,N
1918,29539618,non proximal renal tubule derived urinary exosomal mir b biomarker renal fibrosis,notass,N,,N,,N,1,0.2,N
1919,29540208,exosomes patients septic shock convey mirnas related inflammation cell cycle regulation new signaling pathways sepsis,notass,Y,,N,,Y,2,0.4,N
