,PMID,paper_titles,assigned?,Haley,Peng Yu,Karthik,Xiaohuan,Yi Weng,No. EV related Matched Keywords,Calculated Result,Calculated matching keywords
1887,29484119,breast cancer cell derived exosomes macrophage polarization associated lymph node metastasis,notass,1.0,,0.0,,1.0,4.0,0.8,1
1888,29484441,disintegrin metalloprotease containing exosomes derived nasal polyps promote angiogenesis vascular permeability,notass,1.0,,1.0,,1.0,2.0,0.4,0
1889,29484678,simultaneous isolation preconcentration exosomes ion concentration polarization,notass,0.0,,0.0,,0.0,1.0,0.2,0
1890,29491008,circulating exosomes distinct properties chronic lung allograft rejection,notass,0.0,,0.0,,0.0,1.0,0.2,0
1891,29491838,iron sulfur molybdenum cofactor enzymes regulate drosophila life cycle controlling cell metabolism,notass,0.0,,0.0,,0.0,0.0,0.0,0
1892,29492481,visualization intracellular dynamic tracking exosomes exosomal mirnas using single molecule localization microscopy,notass,0.0,,0.0,,0.0,1.0,0.2,0
1893,29495441,detection aggregation competent tau neuron derived extracellular vesicles,notass,0.0,,0.0,,0.0,1.0,0.2,0
1894,29496262,colorectal cancer cell derived exosomes containing mir b regulate fibroblast cells via pi k akt pathway,notass,1.0,,1.0,,1.0,3.0,0.6000000000000001,1
1895,29497921,exosomal mir released hiv tat stimulated astrocytes mediates microglial migration,notass,1.0,,1.0,,1.0,1.0,0.2,0
1896,29499866,donor tissue specific exosome profiling enables noninvasive monitoring acute rejection mouse allogeneic heart transplantation,notass,0.0,,0.0,,1.0,1.0,0.2,0
1897,29499908,cd independent epstein barr virus entry nk cells,notass,0.0,,0.0,,0.0,0.0,0.0,0
1898,29500443,improved isolation strategies increase yield purity human urinary exosomes biomarker discovery,notass,0.0,0.0,0.0,,0.0,2.0,0.4,0
1899,29502100,adipose derived exosomes exert proatherogenic effects regulating macrophage foam cell formation polarization,notass,1.0,,0.0,,1.0,2.0,0.4,0
1900,29507617,serum exosomes restore cellular function vitro used diagnosis dysferlinopathy,notass,1.0,,0.0,,1.0,1.0,0.2,0
1901,29507629,mesenchymal stem cells derived exosomes immunosuppressive microparticles inflammatory arthritis,notass,1.0,,1.0,,1.0,4.0,0.8,1
1902,29511430,chemokine receptor ccr identified mast cell derived exosomes,notass,0.0,,0.0,,0.0,1.0,0.2,0
1903,29511462,proteome profiling extracellular vesicles captured affinity peptide vn comparison laemmli trizol protein extraction methods,notass,0.0,,0.0,,0.0,2.0,0.4,0
1904,29511463,biocompatibility highly purified bovine milk derived extracellular vesicles,notass,0.0,,0.0,,0.0,1.0,0.2,0
1905,29515035,exosomal microrna predicts protects severe bronchopulmonary dysplasia extremely premature infants,notass,1.0,,1.0,,1.0,0.0,0.0,0
1906,29515112,hypoxia induced matrix metalloproteinase expression exosomes nasopharyngeal carcinoma enhances metastases,notass,1.0,,1.0,,1.0,2.0,0.4,0
1907,29518149,secretory microrna expression gingival crevicular fluid orthodontic tooth movement,notass,0.0,,0.0,,0.0,0.0,0.0,0
1908,29520105,metastasis associated mir nasopharyngeal carcinoma derived exosomes mediates angiogenesis repressing novel target gene tsga,notass,1.0,,1.0,,1.0,4.0,0.8,1
1909,29520676,recent advances exosomal protein detection via liquid biopsy biosensors cancer screening diagnosis prognosis,notass,0.0,,0.0,,1.0,2.0,0.4,0
1910,29521294,effects adipose derived mesenchymal stem cell exosomes corneal stromal fibroblast viability extracellular matrix synthesis,notass,1.0,,1.0,,1.0,5.0,1.0,1
1911,29524006,remote ischemic preconditioning fails reduce infarct size zucker fatty rat model type diabetes role defective humoral communication,notass,0.0,,0.0,,0.0,1.0,0.2,0
