PMID,assigned?,rule_based,Haley,,Peng Yu,Karthik,Chenwei,Xiaohuan,Yi Weng
8642258,,NA,,B lymphocytes secrete antigen-presenting vesicles.,,,,,
9546590,,NA,,Evidence for HSP70-like protein in the RBC membrane of the hereditarily anemic Belgrade laboratory (b/b) rat.,,,,,
10572093,,NA,,Activated platelets release two types of membrane vesicles: microvesicles by surface shedding and exosomes derived from exocytosis of multivesicular bodies and alpha-granules.,,,,,
10903724,,NA,,Follicular dendritic cells carry MHC class II-expressing microvesicles at their surface.,,,,,
11188932,,NA,,Cancer immunotherapy using dendritic cell-derived exosomes.,,,,,
11230160,,NA,,"Genome alignment, evolution of prokaryotic genome organization, and prediction of gene function using genomic context.",,,,,
11231627,,NA,,Tumor-derived exosomes are a source of shared tumor rejection antigens for CTL cross-priming.,,,,,
11404326,,NA,,"The Saccharomyces cerevisiae small GTPase, Gsp1p/Ran, is involved in 3' processing of 7S-to-5.8S rRNA and in degradation of the excised 5'-A0 fragment of 35S pre-rRNA, both of which are carried out by the exosome.",,,,,
11592064,,NA,,Tolerosomes are produced by intestinal epithelial cells.,,,,,
12045221,,No,,The exosome pathway in K562 cells is regulated by Rab11.,,,,,
12096030,,NA,,Exosomes bearing HLA-DR1 molecules need dendritic cells to efficiently stimulate specific T cells.,,,,,
12147373,,NA,,Malignant effusions and immunogenic tumour-derived exosomes.,,,,,
12175670,,NA,,Fractionation analysis of the endosomal compartment during rat reticulocyte maturation.,,,,,
12426563,,NA,,Indirect activation of naïve CD4+ T cells by dendritic cell-derived exosomes.,,,,,
12645951,,Yes,,Antigen-presenting cell exosomes are protected from complement-mediated lysis by expression of CD55 and CD59.,,,,,
12766069,,NA,,Hr44 secreted with exosomes: loss from ciliary epithelium in response to inflammation.,,,,,
12881314,,NA,,Lipid raft-associated protein sorting in exosomes.,,,,,
12928401,,Yes,,Spontaneous membrane transfer through homotypic synapses between lymphoma cells.,,,,,
12973033,,NA,,Exosomes as a tumor vaccine: enhancing potency through direct loading of antigenic peptides.,,,,,
14602237,,NA,,Exosomes bearing HLA-G are released by melanoma cells.,,,,,
14633944,,NA,,Intestinal epithelial exosomes carry MHC class II/peptides able to inform the immune system in mice.,,,,,
14731398,,NA,,"Facilitation of mRNA deadenylation and decay by the exosome-bound, DExH protein RHAU.",,,,,
14764678,,Yes,,Exosomes as potent cell-free peptide-based vaccine. I. Dendritic cell-derived exosomes transfer functional MHC class I/peptide complexes to dendritic cells.,,,,,
14764679,,NA,,Exosomes as potent cell-free peptide-based vaccine. II. Exosomes in CpG adjuvants efficiently prime naive Tc1 lymphocytes leading to tumor rejection.,,,,,
14975938,,NA,,Proteomic analysis of exosomes isolated from human malignant pleural effusions.,,,,,
15213158,,Yes,,Toxoplasma gondii antigen-pulsed-dendritic cell-derived exosomes induce a protective immune response against T. gondii infection.,,,,,
15220333,,Yes,,"Regulation of unsaturated fatty acid biosynthesis in Saccharomyces: the endoplasmic reticulum membrane protein, Mga2p, a transcription activator of the OLE1 gene, regulates the stability of the OLE1 mRNA through exosome-mediated mechanisms.",,,,,
